sample_type	sampleID	PPP1R1A
Primary Tumor	TCGA-KK-A6E4-01	6.3529
Primary Tumor	TCGA-KK-A6E5-01	5.2227
Primary Tumor	TCGA-KK-A6E6-01	5.659
Primary Tumor	TCGA-KK-A6E7-01	7.6444
Primary Tumor	TCGA-KK-A6E8-01	3.8661
Primary Tumor	TCGA-KK-A7AP-01	0
Primary Tumor	TCGA-KK-A7AQ-01	7.0855
Primary Tumor	TCGA-KK-A7AU-01	3.1017
Primary Tumor	TCGA-KK-A7AV-01	4.878
Primary Tumor	TCGA-KK-A7AW-01	5.5028
Primary Tumor	TCGA-KK-A7AY-01	4.142
Primary Tumor	TCGA-KK-A7AZ-01	2.6243
Primary Tumor	TCGA-KK-A7B0-01	6.8021
Primary Tumor	TCGA-KK-A7B1-01	6.8239
Primary Tumor	TCGA-KK-A7B2-01	6.56
Primary Tumor	TCGA-KK-A7B3-01	6.222
Primary Tumor	TCGA-KK-A7B4-01	1.7542
Primary Tumor	TCGA-KK-A8I4-01	6.758
Primary Tumor	TCGA-KK-A8I5-01	4.0503
Primary Tumor	TCGA-KK-A8I6-01	4.8087
Primary Tumor	TCGA-KK-A8I7-01	5.8527
Primary Tumor	TCGA-KK-A8I8-01	3.2011
Primary Tumor	TCGA-KK-A8I9-01	4.1057
Primary Tumor	TCGA-KK-A8IA-01	3.7388
Primary Tumor	TCGA-KK-A8IB-01	4.2832
Primary Tumor	TCGA-KK-A8IC-01	4.3861
Primary Tumor	TCGA-KK-A8ID-01	3.4013
Primary Tumor	TCGA-KK-A8IF-01	5.7413
Primary Tumor	TCGA-KK-A8IG-01	6.3451
Primary Tumor	TCGA-KK-A8IH-01	0.7397
Primary Tumor	TCGA-KK-A8II-01	1.9258
Primary Tumor	TCGA-KK-A8IJ-01	4.1356
Primary Tumor	TCGA-KK-A8IK-01	4.1914
Primary Tumor	TCGA-KK-A8IL-01	4.2092
Primary Tumor	TCGA-KK-A8IM-01	4.9718
Primary Tumor	TCGA-M7-A71Y-01	6.6688
