sample_type	sampleID	RELN
Primary Tumor	TCGA-XA-A8JR-01	7.2978
Primary Tumor	TCGA-XJ-A83F-01	4.0945
Primary Tumor	TCGA-XJ-A83G-01	9.7405
Primary Tumor	TCGA-XJ-A83H-01	6.4352
Primary Tumor	TCGA-XJ-A9DI-01	5.1586
Primary Tumor	TCGA-XJ-A9DK-01	6.0739
Primary Tumor	TCGA-XJ-A9DQ-01	6.7278
Primary Tumor	TCGA-XJ-A9DX-01	4.9307
Primary Tumor	TCGA-XK-AAIR-01	9.5849
Primary Tumor	TCGA-XK-AAIV-01	7.0319
Primary Tumor	TCGA-XK-AAIW-01	4.5555
Primary Tumor	TCGA-XK-AAJ3-01	8.5549
Primary Tumor	TCGA-XK-AAJA-01	6.408
Primary Tumor	TCGA-XK-AAJP-01	10.7412
Primary Tumor	TCGA-XK-AAJR-01	8.8426
Primary Tumor	TCGA-XK-AAJT-01	6.9326
Primary Tumor	TCGA-XK-AAJU-01	6.4906
Primary Tumor	TCGA-XK-AAK1-01	7.6004
Primary Tumor	TCGA-XQ-A8TA-01	4.4699
Primary Tumor	TCGA-XQ-A8TB-01	6.8981
Primary Tumor	TCGA-Y6-A8TL-01	7.9322
Primary Tumor	TCGA-Y6-A9XI-01	4.7274
Primary Tumor	TCGA-YJ-A8SW-01	9.174
Primary Tumor	TCGA-YL-A8HJ-01	7.1828
Primary Tumor	TCGA-YL-A8HK-01	6.6677
Primary Tumor	TCGA-YL-A8HL-01	2.6889
Primary Tumor	TCGA-YL-A8HM-01	10.5379
Primary Tumor	TCGA-YL-A8HO-01	7.271
Primary Tumor	TCGA-YL-A8S8-01	9.1303
Primary Tumor	TCGA-YL-A8S9-01	10.4733
Primary Tumor	TCGA-YL-A8SA-01	3.1694
Primary Tumor	TCGA-YL-A8SB-01	5.4841
Primary Tumor	TCGA-YL-A8SC-01	9.9652
Primary Tumor	TCGA-YL-A8SF-01	3.9472
