sample_type	sampleID	ADRA1A
Primary Tumor	TCGA-VP-A87J-01	4.1571
Primary Tumor	TCGA-VP-A87K-01	3.525
Primary Tumor	TCGA-VP-AA1N-01	5.0042
Primary Tumor	TCGA-WW-A8ZI-01	2.8746
Primary Tumor	TCGA-X4-A8KQ-01	5.0704
Primary Tumor	TCGA-X4-A8KS-01	3.9899
Primary Tumor	TCGA-XA-A8JR-01	5.803
Primary Tumor	TCGA-XJ-A83F-01	3.5511
Primary Tumor	TCGA-XJ-A83G-01	2.8573
Primary Tumor	TCGA-XJ-A83H-01	2.7356
Primary Tumor	TCGA-XJ-A9DI-01	4.327
Primary Tumor	TCGA-XJ-A9DK-01	6.3794
Primary Tumor	TCGA-XJ-A9DQ-01	4.8383
Primary Tumor	TCGA-XJ-A9DX-01	2.151
Primary Tumor	TCGA-XK-AAIR-01	4.9507
Primary Tumor	TCGA-XK-AAIV-01	3.5703
Primary Tumor	TCGA-XK-AAIW-01	0.4291
Primary Tumor	TCGA-XK-AAJ3-01	1.9296
Primary Tumor	TCGA-XK-AAJA-01	2.5918
Primary Tumor	TCGA-XK-AAJP-01	1.8143
Primary Tumor	TCGA-XK-AAJR-01	4.6615
Primary Tumor	TCGA-XK-AAJT-01	6.2035
Primary Tumor	TCGA-XK-AAJU-01	5.657
Primary Tumor	TCGA-XK-AAK1-01	0.954
Primary Tumor	TCGA-XQ-A8TA-01	0.8717
Primary Tumor	TCGA-XQ-A8TB-01	5.4976
Primary Tumor	TCGA-Y6-A8TL-01	6.1623
Primary Tumor	TCGA-Y6-A9XI-01	2.1478
Primary Tumor	TCGA-YJ-A8SW-01	3.8389
Primary Tumor	TCGA-YL-A8HJ-01	7.7928
Primary Tumor	TCGA-YL-A8HK-01	6.5394
Primary Tumor	TCGA-YL-A8HL-01	3.0949
Primary Tumor	TCGA-YL-A8HM-01	1.4102
Primary Tumor	TCGA-YL-A8HO-01	6.513
Primary Tumor	TCGA-YL-A8S8-01	4.6729
Primary Tumor	TCGA-YL-A8S9-01	1.4949
Primary Tumor	TCGA-YL-A8SA-01	1.874
Primary Tumor	TCGA-YL-A8SB-01	5.9092
Primary Tumor	TCGA-YL-A8SC-01	2.6572
