sample_type	sampleID	CXCL12
Primary Tumor	TCGA-MG-AAMC-01	6.6011
Primary Tumor	TCGA-QU-A6IL-01	8.1369
Primary Tumor	TCGA-QU-A6IM-01	9.2035
Primary Tumor	TCGA-QU-A6IN-01	6.9921
Primary Tumor	TCGA-QU-A6IO-01	7.8327
Primary Tumor	TCGA-QU-A6IP-01	8.4172
Primary Tumor	TCGA-SU-A7E7-01	8.8575
Primary Tumor	TCGA-TK-A8OK-01	10.8401
Primary Tumor	TCGA-TP-A8TT-01	9.0397
Primary Tumor	TCGA-TP-A8TV-01	8.6202
Primary Tumor	TCGA-V1-A8MF-01	10.0382
Primary Tumor	TCGA-V1-A8MG-01	9.0178
Primary Tumor	TCGA-V1-A8MJ-01	8.2331
Primary Tumor	TCGA-V1-A8MK-01	9.1757
Primary Tumor	TCGA-V1-A8ML-01	8.9
Primary Tumor	TCGA-V1-A8MM-01	8.4221
Primary Tumor	TCGA-V1-A8MU-01	11.7597
Primary Tumor	TCGA-V1-A8WL-01	9.668
Primary Tumor	TCGA-V1-A8WN-01	8.8952
Primary Tumor	TCGA-V1-A8WS-01	7.9225
Primary Tumor	TCGA-V1-A8WV-01	8.3201
Primary Tumor	TCGA-V1-A8WW-01	7.8626
Primary Tumor	TCGA-V1-A8X3-01	8.9367
Primary Tumor	TCGA-V1-A9O5-01	8.0624
Primary Tumor	TCGA-V1-A9O7-01	10.2394
Primary Tumor	TCGA-V1-A9O9-01	8.8614
Primary Tumor	TCGA-V1-A9OA-01	9.8853
Primary Tumor	TCGA-V1-A9OF-01	10.0057
Primary Tumor	TCGA-V1-A9OH-01	8.4582
Primary Tumor	TCGA-V1-A9OL-01	10.7416
Primary Tumor	TCGA-V1-A9OQ-01	8.548
Primary Tumor	TCGA-V1-A9OT-01	8.9571
Primary Tumor	TCGA-V1-A9OX-01	10.8117
Primary Tumor	TCGA-V1-A9OY-01	8.9955
Primary Tumor	TCGA-V1-A9Z7-01	11.1924
Primary Tumor	TCGA-V1-A9Z8-01	9.6298
Primary Tumor	TCGA-V1-A9Z9-01	8.7367
Primary Tumor	TCGA-V1-A9ZG-01	9.0408
Primary Tumor	TCGA-V1-A9ZI-01	10.5748
Primary Tumor	TCGA-V1-A9ZK-01	10.3517
Primary Tumor	TCGA-V1-A9ZR-01	9.8731
Primary Tumor	TCGA-VN-A88I-01	10.8419
Primary Tumor	TCGA-VN-A88K-01	7.7117
Primary Tumor	TCGA-VN-A88L-01	8.9732
Primary Tumor	TCGA-VN-A88M-01	7.176
Primary Tumor	TCGA-VN-A88N-01	9.0019
Primary Tumor	TCGA-VN-A88O-01	9.6199
Primary Tumor	TCGA-VN-A88P-01	9.1658
Primary Tumor	TCGA-VN-A88Q-01	6.6902
Primary Tumor	TCGA-VN-A88R-01	8.5453
Primary Tumor	TCGA-VN-A943-01	7.5119
Primary Tumor	TCGA-VP-A872-01	8.1473
Primary Tumor	TCGA-VP-A875-01	6.5273
Primary Tumor	TCGA-VP-A876-01	8.0801
Primary Tumor	TCGA-VP-A878-01	9.3271
Primary Tumor	TCGA-VP-A879-01	8.9529
Primary Tumor	TCGA-VP-A87B-01	7.8683
Primary Tumor	TCGA-VP-A87C-01	9.6292
Primary Tumor	TCGA-VP-A87D-01	9.2386
Primary Tumor	TCGA-VP-A87E-01	9.985
Primary Tumor	TCGA-VP-A87H-01	7.7578
Primary Tumor	TCGA-VP-A87J-01	7.6792
Primary Tumor	TCGA-VP-A87K-01	8.1053
Primary Tumor	TCGA-VP-AA1N-01	9.4982
Primary Tumor	TCGA-WW-A8ZI-01	8.7305
Primary Tumor	TCGA-X4-A8KQ-01	8.7279
Primary Tumor	TCGA-X4-A8KS-01	9.2773
Primary Tumor	TCGA-XA-A8JR-01	9.3947
Primary Tumor	TCGA-XJ-A83F-01	8.3524
Primary Tumor	TCGA-XJ-A83G-01	10.9999
Primary Tumor	TCGA-XJ-A83H-01	7.7597
Primary Tumor	TCGA-XJ-A9DI-01	8.9903
Primary Tumor	TCGA-XJ-A9DK-01	9.1483
Primary Tumor	TCGA-XJ-A9DQ-01	8.7613
Primary Tumor	TCGA-XJ-A9DX-01	9.8102
Primary Tumor	TCGA-XK-AAIR-01	10.1023
Primary Tumor	TCGA-XK-AAIV-01	9.4857
Primary Tumor	TCGA-XK-AAIW-01	9.8018
Primary Tumor	TCGA-XK-AAJ3-01	7.7292
Primary Tumor	TCGA-XK-AAJA-01	7.5352
Primary Tumor	TCGA-XK-AAJP-01	9.8113
Primary Tumor	TCGA-XK-AAJR-01	8.2777
Primary Tumor	TCGA-XK-AAJT-01	9.4063
Primary Tumor	TCGA-XK-AAJU-01	8.4541
Primary Tumor	TCGA-XK-AAK1-01	8.0048
Primary Tumor	TCGA-XQ-A8TA-01	5.0956
Primary Tumor	TCGA-XQ-A8TB-01	8.8988
Primary Tumor	TCGA-Y6-A8TL-01	9.4952
Primary Tumor	TCGA-Y6-A9XI-01	8.9644
Primary Tumor	TCGA-YJ-A8SW-01	10.2056
Primary Tumor	TCGA-YL-A8HJ-01	10.0319
Primary Tumor	TCGA-YL-A8HK-01	9.0237
Primary Tumor	TCGA-YL-A8HL-01	7.0555
Primary Tumor	TCGA-YL-A8HM-01	9.6045
Primary Tumor	TCGA-YL-A8HO-01	10.7871
Primary Tumor	TCGA-YL-A8S8-01	8.8886
Primary Tumor	TCGA-YL-A8S9-01	7.2123
Primary Tumor	TCGA-YL-A8SA-01	6.7427
Primary Tumor	TCGA-YL-A8SB-01	11.8816
Primary Tumor	TCGA-YL-A8SC-01	7.777
