sample_type	sampleID	AQP3
Primary Tumor	TCGA-KK-A7B2-01	12.0258
Primary Tumor	TCGA-KK-A7B3-01	11.3025
Primary Tumor	TCGA-KK-A7B4-01	11.2971
Primary Tumor	TCGA-KK-A8I4-01	11.7615
Primary Tumor	TCGA-KK-A8I5-01	10.8698
Primary Tumor	TCGA-KK-A8I6-01	11.3084
Primary Tumor	TCGA-KK-A8I7-01	11.3509
Primary Tumor	TCGA-KK-A8I8-01	10.6184
Primary Tumor	TCGA-KK-A8I9-01	12.2736
Primary Tumor	TCGA-KK-A8IA-01	10.9051
Primary Tumor	TCGA-KK-A8IB-01	11.3556
Primary Tumor	TCGA-KK-A8IC-01	11.7305
Primary Tumor	TCGA-KK-A8ID-01	11.7389
Primary Tumor	TCGA-KK-A8IF-01	12.2364
Primary Tumor	TCGA-KK-A8IG-01	10.9082
Primary Tumor	TCGA-KK-A8IH-01	12.0649
Primary Tumor	TCGA-KK-A8II-01	9.7
Primary Tumor	TCGA-KK-A8IJ-01	11.8798
Primary Tumor	TCGA-KK-A8IK-01	13.6076
Primary Tumor	TCGA-KK-A8IL-01	11.7138
Primary Tumor	TCGA-KK-A8IM-01	11.715
Primary Tumor	TCGA-M7-A71Y-01	13.0098
Primary Tumor	TCGA-M7-A71Z-01	8.9303
Primary Tumor	TCGA-M7-A720-01	13.1174
Primary Tumor	TCGA-M7-A721-01	11.0237
Primary Tumor	TCGA-M7-A722-01	7.3374
Primary Tumor	TCGA-M7-A723-01	11.2573
Primary Tumor	TCGA-M7-A724-01	11.5975
Primary Tumor	TCGA-M7-A725-01	11.8017
Primary Tumor	TCGA-MG-AAMC-01	10.8109
Primary Tumor	TCGA-QU-A6IL-01	12.1738
Primary Tumor	TCGA-QU-A6IM-01	11.0173
Primary Tumor	TCGA-QU-A6IN-01	11.1956
Primary Tumor	TCGA-QU-A6IO-01	10.7842
Primary Tumor	TCGA-QU-A6IP-01	11.2351
Primary Tumor	TCGA-SU-A7E7-01	11.2667
Primary Tumor	TCGA-TK-A8OK-01	10.4016
Primary Tumor	TCGA-TP-A8TT-01	9.7386
Primary Tumor	TCGA-TP-A8TV-01	10.5998
Primary Tumor	TCGA-V1-A8MF-01	11.4173
Primary Tumor	TCGA-V1-A8MG-01	10.9383
Primary Tumor	TCGA-V1-A8MJ-01	12.5272
Primary Tumor	TCGA-V1-A8MK-01	11.6157
Primary Tumor	TCGA-V1-A8ML-01	12.0898
Primary Tumor	TCGA-V1-A8MM-01	12.0923
Primary Tumor	TCGA-V1-A8MU-01	12.1544
Primary Tumor	TCGA-V1-A8WL-01	11.0184
Primary Tumor	TCGA-V1-A8WN-01	11.672
Primary Tumor	TCGA-V1-A8WS-01	9.8362
Primary Tumor	TCGA-V1-A8WV-01	12.5207
Primary Tumor	TCGA-V1-A8WW-01	9.5703
Primary Tumor	TCGA-V1-A8X3-01	12.9674
Primary Tumor	TCGA-V1-A9O5-01	12.221
Primary Tumor	TCGA-V1-A9O7-01	11.94
Primary Tumor	TCGA-V1-A9O9-01	11.3066
Primary Tumor	TCGA-V1-A9OA-01	12.3458
Primary Tumor	TCGA-V1-A9OF-01	11.3425
Primary Tumor	TCGA-V1-A9OH-01	11.9902
Primary Tumor	TCGA-V1-A9OL-01	10.4332
Primary Tumor	TCGA-V1-A9OQ-01	11.7862
Primary Tumor	TCGA-V1-A9OT-01	10.9301
Primary Tumor	TCGA-V1-A9OX-01	11.8209
Primary Tumor	TCGA-V1-A9OY-01	11.3315
Primary Tumor	TCGA-V1-A9Z7-01	10.8245
