sample_type	sampleID	GYS2
Primary Tumor	TCGA-V1-A9Z8-01	1.0578
Primary Tumor	TCGA-V1-A9Z9-01	0
Primary Tumor	TCGA-V1-A9ZG-01	0
Primary Tumor	TCGA-V1-A9ZI-01	0.9004
Primary Tumor	TCGA-V1-A9ZK-01	0.4436
Primary Tumor	TCGA-V1-A9ZR-01	0.6679
Primary Tumor	TCGA-VN-A88I-01	1.9537
Primary Tumor	TCGA-VN-A88K-01	0
Primary Tumor	TCGA-VN-A88L-01	1.0059
Primary Tumor	TCGA-VN-A88M-01	0
Primary Tumor	TCGA-VN-A88N-01	0
Primary Tumor	TCGA-VN-A88O-01	0.5458
Primary Tumor	TCGA-VN-A88P-01	0
Primary Tumor	TCGA-VN-A88Q-01	0
Primary Tumor	TCGA-VN-A88R-01	0
Primary Tumor	TCGA-VN-A943-01	0
Primary Tumor	TCGA-VP-A872-01	0.6745
Primary Tumor	TCGA-VP-A875-01	0
Primary Tumor	TCGA-VP-A876-01	0
Primary Tumor	TCGA-VP-A878-01	0.5115
Primary Tumor	TCGA-VP-A879-01	0.5439
Primary Tumor	TCGA-VP-A87B-01	0
Primary Tumor	TCGA-VP-A87C-01	0.4953
Primary Tumor	TCGA-VP-A87D-01	0
Primary Tumor	TCGA-VP-A87E-01	0.5909
Primary Tumor	TCGA-VP-A87H-01	0
Primary Tumor	TCGA-VP-A87J-01	0
Primary Tumor	TCGA-VP-A87K-01	0.4463
Primary Tumor	TCGA-VP-AA1N-01	1.2248
Primary Tumor	TCGA-WW-A8ZI-01	0
Primary Tumor	TCGA-X4-A8KQ-01	0
Primary Tumor	TCGA-X4-A8KS-01	0.8696
Primary Tumor	TCGA-XA-A8JR-01	0
Primary Tumor	TCGA-XJ-A83F-01	0.6742
Primary Tumor	TCGA-XJ-A83G-01	0
Primary Tumor	TCGA-XJ-A83H-01	0
Primary Tumor	TCGA-XJ-A9DI-01	0.5743
Primary Tumor	TCGA-XJ-A9DK-01	0
Primary Tumor	TCGA-XJ-A9DQ-01	0
Primary Tumor	TCGA-XJ-A9DX-01	0.5769
Primary Tumor	TCGA-XK-AAIR-01	0.5135
Primary Tumor	TCGA-XK-AAIV-01	0
Primary Tumor	TCGA-XK-AAIW-01	0
Primary Tumor	TCGA-XK-AAJ3-01	0
Primary Tumor	TCGA-XK-AAJA-01	0.3943
Primary Tumor	TCGA-XK-AAJP-01	0
Primary Tumor	TCGA-XK-AAJR-01	0
Primary Tumor	TCGA-XK-AAJT-01	1.518
Primary Tumor	TCGA-XK-AAJU-01	1.3212
Primary Tumor	TCGA-XK-AAK1-01	0.954
Primary Tumor	TCGA-XQ-A8TA-01	0.8717
Primary Tumor	TCGA-XQ-A8TB-01	0.5462
Primary Tumor	TCGA-Y6-A8TL-01	1.491
Primary Tumor	TCGA-Y6-A9XI-01	0
Primary Tumor	TCGA-YJ-A8SW-01	0
Primary Tumor	TCGA-YL-A8HJ-01	0.518
Primary Tumor	TCGA-YL-A8HK-01	0.8371
Primary Tumor	TCGA-YL-A8HL-01	0
Primary Tumor	TCGA-YL-A8HM-01	0
Primary Tumor	TCGA-YL-A8HO-01	0
Primary Tumor	TCGA-YL-A8S8-01	0
Primary Tumor	TCGA-YL-A8S9-01	0
Primary Tumor	TCGA-YL-A8SA-01	0
Primary Tumor	TCGA-YL-A8SB-01	0
Primary Tumor	TCGA-YL-A8SC-01	0.4371
Primary Tumor	TCGA-YL-A8SF-01	0
Primary Tumor	TCGA-YL-A8SH-01	0
